,Timestamp,Object_List,Objects_Count,frisbee,clock,tv,bus,stop sign,person,chair,train,truck,car,airplane,traffic light,fire hydrant
263,1549644091355381,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
264,1549643698239740,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
265,1549642814060798,"['train', 'car']",2,,,,,,,,1.0,,1.0,,,
266,1549644013314306,['car'],1,,,,,,,,,,1.0,,,
267,1549643837196548,"['car', 'car']",2,,,,,,,,,,2.0,,,
268,1549643551881478,['car'],1,,,,,,,,,,1.0,,,
269,1549643756777741,['truck'],1,,,,,,,,,1.0,,,,
270,1549644535269857,"['car', 'car']",2,,,,,,,,,,2.0,,,
271,1549643987185939,"['car', 'car']",2,,,,,,,,,,2.0,,,
272,1549644188186291,"['car', 'car']",2,,,,,,,,,,2.0,,,
273,1549644315138326,['car'],1,,,,,,,,,,1.0,,,
274,1549643135197463,"['car', 'car']",2,,,,,,,,,,2.0,,,
275,1549643325829402,"['car', 'car']",2,,,,,,,,,,2.0,,,
276,1549643663603996,['car'],1,,,,,,,,,,1.0,,,
277,1549643873800478,['car'],1,,,,,,,,,,1.0,,,
278,1549643716453810,"['truck', 'car', 'car']",3,,,,,,,,,1.0,2.0,,,
279,1549643809626402,['car'],1,,,,,,,,,,1.0,,,
280,1549643237988644,['car'],1,,,,,,,,,,1.0,,,
281,1549643457958181,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
282,1549643933974824,['car'],1,,,,,,,,,,1.0,,,
283,1549644432064811,['car'],1,,,,,,,,,,1.0,,,
284,1549644128109011,"['car', 'car']",2,,,,,,,,,,2.0,,,
285,1549643910301999,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
286,1549644616149296,"['car', 'car', 'truck', 'car', 'car', 'car', 'car', 'car', 'car', 'car']",10,,,,,,,,,1.0,9.0,,,
287,1549644146563976,"['bus', 'car', 'car', 'car', 'truck']",5,,,,1.0,,,,,1.0,3.0,,,
288,1549643985320243,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
289,1549643227062580,['car'],1,,,,,,,,,,1.0,,,
290,1549643302068533,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
291,1549643751166262,"['truck', 'car', 'car', 'truck']",4,,,,,,,,,2.0,2.0,,,
292,1549643148163383,"['truck', 'car']",2,,,,,,,,,1.0,1.0,,,
293,1549643465261369,"['car', 'car']",2,,,,,,,,,,2.0,,,
294,1549643773243707,['car'],1,,,,,,,,,,1.0,,,
295,1549643705536828,"['car', 'car']",2,,,,,,,,,,2.0,,,
296,1549643380906304,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
297,1549642915262792,"['car', 'car']",2,,,,,,,,,,2.0,,,
298,1549643012550986,"['car', 'truck', 'car']",3,,,,,,,,,1.0,2.0,,,
299,1549644157485387,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
300,1549643439483213,['car'],1,,,,,,,,,,1.0,,,
301,1549642968635726,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
302,1549642994153811,['car'],1,,,,,,,,,,1.0,,,
303,1549643124035924,"['car', 'person']",2,,,,,,1.0,,,,1.0,,,
304,1549643628977769,['car'],1,,,,,,,,,,1.0,,,
305,1549644004260184,['person'],1,,,,,,1.0,,,,,,,
306,1549644487344230,"['car', 'car']",2,,,,,,,,,,2.0,,,
307,1549642965000542,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
308,1549644457937516,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
309,1549644415359329,['car'],1,,,,,,,,,,1.0,,,
310,1549643618050403,['car'],1,,,,,,,,,,1.0,,,
311,1549644409682276,['stop sign'],1,,,,,1.0,,,,,,,,
312,1549643948527974,"['car', 'car']",2,,,,,,,,,,2.0,,,
313,1549643263627623,['truck'],1,,,,,,,,,1.0,,,,
314,1549643258077546,['person'],1,,,,,,1.0,,,,,,,
315,1549644327809129,['person'],1,,,,,,1.0,,,,,,,
316,1549644559294829,"['car', 'car']",2,,,,,,,,,,2.0,,,
317,1549644316951999,"['car', 'car']",2,,,,,,,,,,2.0,,,
318,1549643336872304,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
319,1549644062507381,['car'],1,,,,,,,,,,1.0,,,
320,1549644071619451,"['truck', 'car']",2,,,,,,,,,1.0,1.0,,,
321,1549643864568183,"['car', 'car']",2,,,,,,,,,,2.0,,,
322,1549644135518586,['car'],1,,,,,,,,,,1.0,,,
323,1549642823311741,['car'],1,,,,,,,,,,1.0,,,
324,1549643851751817,"['car', 'car']",2,,,,,,,,,,2.0,,,
325,1549643983511946,['car'],1,,,,,,,,,,1.0,,,
326,1549643844516534,['car'],1,,,,,,,,,,1.0,,,
327,1549643424883088,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
328,1549643448596881,['car'],1,,,,,,,,,,1.0,,,
329,1549644528038290,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
330,1549643643574677,['car'],1,,,,,,,,,,1.0,,,
331,1549644278101824,['car'],1,,,,,,,,,,1.0,,,
332,1549644058889087,['car'],1,,,,,,,,,,1.0,,,
333,1549643621677478,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
334,1549643623486579,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
335,1549642889331112,"['truck', 'car', 'car', 'truck']",4,,,,,,,,,2.0,2.0,,,
336,1549642802948527,"['car', 'car']",2,,,,,,,,,,2.0,,,
337,1549644524417458,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
338,1549643014363571,"['car', 'car']",2,,,,,,,,,,2.0,,,
339,1549643862747574,"['car', 'car']",2,,,,,,,,,,2.0,,,
340,1549643860939193,"['car', 'car']",2,,,,,,,,,,2.0,,,
341,1549644318763451,"['car', 'car', 'car', 'fire hydrant']",4,,,,,,,,,,3.0,,,1.0
342,1549643025211836,"['car', 'car', 'car', 'truck']",4,,,,,,,,,1.0,3.0,,,
343,1549643287210430,"['car', 'car']",2,,,,,,,,,,2.0,,,
344,1549643054418368,['car'],1,,,,,,,,,,1.0,,,
345,1549644590618402,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
346,1549643575904707,['car'],1,,,,,,,,,,1.0,,,
347,1549643467135429,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
348,1549644133648840,['car'],1,,,,,,,,,,1.0,,,
349,1549644387606986,"['car', 'tv', 'car', 'car']",4,,,1.0,,,,,,,3.0,,,
350,1549644177203659,"['car', 'car']",2,,,,,,,,,,2.0,,,
351,1549644153801165,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
352,1549643981638094,['car'],1,,,,,,,,,,1.0,,,
353,1549643577715155,['car'],1,,,,,,,,,,1.0,,,
354,1549642810374613,"['car', 'car', 'truck']",3,,,,,,,,,1.0,2.0,,,
355,1549642693456342,"['truck', 'train', 'train']",3,,,,,,,,2.0,1.0,,,,
356,1549644038846937,"['fire hydrant', 'car', 'car']",3,,,,,,,,,,2.0,,,1.0
357,1549643972467168,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
358,1549642709928417,"['person', 'car', 'person', 'person']",4,,,,,,3.0,,,,1.0,,,
359,1549644270791138,"['fire hydrant', 'car', 'car']",3,,,,,,,,,,2.0,,,1.0
360,1549644120869347,['car'],1,,,,,,,,,,1.0,,,
361,1549643434054116,['truck'],1,,,,,,,,,1.0,,,,
362,1549643932160487,"['car', 'car']",2,,,,,,,,,,2.0,,,
363,1549643314848232,"['car', 'car']",2,,,,,,,,,,2.0,,,
364,1549643745733097,"['car', 'car']",2,,,,,,,,,,2.0,,,
365,1549644081340907,"['car', 'car']",2,,,,,,,,,,2.0,,,
366,1549643824349677,"['person', 'car', 'car', 'car']",4,,,,,,1.0,,,,3.0,,,
367,1549643771433456,['car'],1,,,,,,,,,,1.0,,,
368,1549643311235541,['car'],1,,,,,,,,,,1.0,,,
369,1549643912165879,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
370,1549643032457722,"['car', 'truck', 'truck']",3,,,,,,,,,2.0,1.0,,,
371,1549643190012033,['car'],1,,,,,,,,,,1.0,,,
