Timestamp;Object_List;Objects_Count;frisbee;clock;tv;bus;stop sign;person;chair;train;truck;car;airplane;traffic light;fire hydrant
1549643184582769;['car'];1;;;;;;;;;;1.0;;;
1549643188207460;['car'];1;;;;;;;;;;1.0;;;
1549643190012033;['car'];1;;;;;;;;;;1.0;;;
1549643191894193;['truck'];1;;;;;;;;;1.0;;;;
1549643193701802;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643195631792;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643197443541;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643199255672;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643201123000;['car'];1;;;;;;;;;;1.0;;;
1549643202990688;['car', 'person', 'truck', 'truck'];4;;;;;;1.0;;;2.0;1.0;;;
1549643204798511;['truck', 'car', 'car', 'car'];4;;;;;;;;;1.0;3.0;;;
1549643206614578;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643208486202;['car', 'truck', 'car'];3;;;;;;;;;1.0;2.0;;;
1549643210289100;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643212162536;['car', 'car', 'car', 'car', 'truck'];5;;;;;;;;;1.0;4.0;;;
1549643214092817;['car', 'car', 'truck'];3;;;;;;;;;1.0;2.0;;;
1549643215900780;['car', 'car', 'truck'];3;;;;;;;;;1.0;2.0;;;
1549643217710594;['car'];1;;;;;;;;;;1.0;;;
1549643219705328;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643221517368;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643223384166;['car'];1;;;;;;;;;;1.0;;;
1549643225194433;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643227062580;['car'];1;;;;;;;;;;1.0;;;
1549643228877333;['car'];1;;;;;;;;;;1.0;;;
1549643232492518;['car'];1;;;;;;;;;;1.0;;;
1549643237988644;['car'];1;;;;;;;;;;1.0;;;
1549643239918862;['car'];1;;;;;;;;;;1.0;;;
1549643245344732;['stop sign', 'person'];2;;;;;1.0;1.0;;;;;;;
1549643258077546;['person'];1;;;;;;1.0;;;;;;;
1549643259883189;['car'];1;;;;;;;;;;1.0;;;
1549643261750861;['truck'];1;;;;;;;;;1.0;;;;
1549643263627623;['truck'];1;;;;;;;;;1.0;;;;
1549643265439116;['truck'];1;;;;;;;;;1.0;;;;
1549643270922772;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643274546709;['car', 'person'];2;;;;;;1.0;;;;1.0;;;
1549643276350344;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643278158518;['car', 'stop sign', 'car'];3;;;;;1.0;;;;;2.0;;;
1549643279973411;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643285399354;['car'];1;;;;;;;;;;1.0;;;
1549643287210430;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643290953048;['truck'];1;;;;;;;;;1.0;;;;
